"시군구별","용도지역및이용현황별","항목","단위","2006.01 월","2006.02 월","2006.03 월","2006.04 월","2006.05 월","2006.06 월",
"종로구","답","지가변동률[%]","%","-","-","-","-","-","-",
"종로구","주거용(대)","지가변동률[%]","%",".124",".235",".733",".572",".752",".656",
"종로구","상업용(대)","지가변동률[%]","%",".251",".61",".825",".786",".826",".733",
"종로구","임야","지가변동률[%]","%","0","0","0","0","0",".55",
"종로구","공장용지","지가변동률[%]","%","-","-","-","-","-","-",
"종로구","기타","지가변동률[%]","%","-","-","-","-","-","-",
"중구","평균","지가변동률[%]","%",".214",".563",".826",".754",".708",".712",
"중구","주거지역","지가변동률[%]","%",".215",".453",".698",".801",".734",".726",
"중구","상업지역","지가변동률[%]","%",".213",".605",".875",".737",".698",".707",
"중구","공업지역","지가변동률[%]","%","-","-","-","-","-","-",
"중구","녹지지역","지가변동률[%]","%","-","-","-","-","-","-",
"중구","관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"중구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"중구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"중구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"중구","농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"중구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-",
"중구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"중구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"중구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"중구","전","지가변동률[%]","%","-","-","-","-","-","-",
"중구","답","지가변동률[%]","%","-","-","-","-","-","-",
"중구","주거용(대)","지가변동률[%]","%",".171",".282",".661",".811",".628",".7",
"중구","상업용(대)","지가변동률[%]","%",".22",".61",".853",".745",".72",".713",
"중구","임야","지가변동률[%]","%","-","-","-","-","-","-",
"중구","공장용지","지가변동률[%]","%","-","-","-","-","-","-",
"중구","기타","지가변동률[%]","%","-","-","-","-","-","-",
"용산구","평균","지가변동률[%]","%",".366",".569",".995",".941",".978",".896",
"용산구","주거지역","지가변동률[%]","%",".339",".534",".948",".909",".95",".816",
"용산구","상업지역","지가변동률[%]","%",".541",".807","1.302","1.142","1.159","1.425",
"용산구","공업지역","지가변동률[%]","%","-","-","-","-","-","-",
"용산구","녹지지역","지가변동률[%]","%","-","-","-","-","-","-",
"용산구","관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"용산구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"용산구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"용산구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"용산구","농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"용산구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-",
"용산구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"용산구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"용산구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"용산구","전","지가변동률[%]","%","-","-","-","-","-","-",
"용산구","답","지가변동률[%]","%","-","-","-","-","-","-",
"용산구","주거용(대)","지가변동률[%]","%",".349",".625","1.016","1.04","1.124",".896",
"용산구","상업용(대)","지가변동률[%]","%",".347",".458",".933",".788",".768",".843",
"용산구","임야","지가변동률[%]","%","-","-","-","-","-","-",
"용산구","공장용지","지가변동률[%]","%","1.338","1.32","1.303","1.287","1.269","1.254",
"용산구","기타","지가변동률[%]","%","-","-","-","-","-","-",
"성동구","평균","지가변동률[%]","%",".319",".6",".988",".887","1.004",".912",
"성동구","주거지역","지가변동률[%]","%",".404",".645",".817",".888","1.05",".999",
"성동구","상업지역","지가변동률[%]","%",".6",".701",".878","1.006",".827",".87",
"성동구","공업지역","지가변동률[%]","%","0",".442","1.528",".854",".905",".661",
"성동구","녹지지역","지가변동률[%]","%","-","-","-","-","-","-",
"성동구","관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"성동구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"성동구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"성동구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"성동구","농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"성동구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-",
"성동구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"성동구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"성동구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"성동구","전","지가변동률[%]","%","-","-","-","-","-","-",
"성동구","답","지가변동률[%]","%","-","-","-","-","-","-",
"성동구","주거용(대)","지가변동률[%]","%",".415",".685",".916",".969","1.098","1.039",
"성동구","상업용(대)","지가변동률[%]","%",".312",".542",".883",".878","1.009",".903",
"성동구","임야","지가변동률[%]","%","-","-","-","-","-","-",
"성동구","공장용지","지가변동률[%]","%","0",".457","1.489","0","0","0",
"성동구","기타","지가변동률[%]","%","-","-","-","-","-","-",
"광진구","평균","지가변동률[%]","%",".308",".458",".876",".766",".758",".729",
"광진구","주거지역","지가변동률[%]","%",".297",".443",".882",".755",".733",".721",
"광진구","상업지역","지가변동률[%]","%",".493",".711",".803",".967","1.18",".881",
"광진구","공업지역","지가변동률[%]","%","-","-","-","-","-","-",
"광진구","녹지지역","지가변동률[%]","%",".34",".516",".709",".686",".75",".694",
"광진구","관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"광진구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"광진구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"광진구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"광진구","농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"광진구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-",
"광진구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"광진구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"광진구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"광진구","전","지가변동률[%]","%","0","0",".8","0","0","0",
"광진구","답","지가변동률[%]","%","-","-","-","-","-","-",
"광진구","주거용(대)","지가변동률[%]","%",".297",".427",".84",".539",".623",".691",
"광진구","상업용(대)","지가변동률[%]","%",".338",".527",".903","1.103",".971",".8",
"광진구","임야","지가변동률[%]","%","-","-","-","-","-","-",
"광진구","공장용지","지가변동률[%]","%","-","-","-","-","-","-",
"광진구","기타","지가변동률[%]","%","-","-","-","-","-","-",
"동대문구","평균","지가변동률[%]","%",".311",".433",".863",".691",".798",".708",
"동대문구","주거지역","지가변동률[%]","%",".33",".464",".938",".771",".894",".785",
"동대문구","상업지역","지가변동률[%]","%",".218",".284",".501",".298",".332",".332",
"동대문구","공업지역","지가변동률[%]","%","-","-","-","-","-","-",
"동대문구","녹지지역","지가변동률[%]","%","-","-","-","-","-","-",
"동대문구","관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"동대문구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"동대문구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"동대문구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"동대문구","농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"동대문구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-",
"동대문구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"동대문구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"동대문구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"동대문구","전","지가변동률[%]","%","-","-","-","-","-","-",
"동대문구","답","지가변동률[%]","%","-","-","-","-","-","-",
"동대문구","주거용(대)","지가변동률[%]","%",".408",".532",".985",".836","1.041",".879",
"동대문구","상업용(대)","지가변동률[%]","%",".203",".32",".72",".522",".52",".51",
"동대문구","임야","지가변동률[%]","%","-","-","-","-","-","-",
"동대문구","공장용지","지가변동률[%]","%","-","-","-","-","-","-",
"동대문구","기타","지가변동률[%]","%","-","-","-","-","-","-",
"중랑구","평균","지가변동률[%]","%",".248",".492",".819",".751",".774",".669",
"중랑구","주거지역","지가변동률[%]","%",".244",".506",".788",".736",".781",".672",
"중랑구","상업지역","지가변동률[%]","%","0",".114",".928",".369","0",".368",
"중랑구","공업지역","지가변동률[%]","%","-","-","-","-","-","-",
"중랑구","녹지지역","지가변동률[%]","%",".448",".477","1.274","1.212","1.095",".758",
"중랑구","관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"중랑구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"중랑구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"중랑구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"중랑구","농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"중랑구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-",
"중랑구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"중랑구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"중랑구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"중랑구","전","지가변동률[%]","%",".404",".473",".369",".878",".99",".792",
"중랑구","답","지가변동률[%]","%","-","-","-","-","-","-",
"중랑구","주거용(대)","지가변동률[%]","%",".054",".292",".921",".689",".667",".543",
"중랑구","상업용(대)","지가변동률[%]","%",".649",".876",".801",".944",".999",".905",
"중랑구","임야","지가변동률[%]","%","-","-","-","-","-","-",
"중랑구","공장용지","지가변동률[%]","%","-","-","-","-","-","-",
"중랑구","기타","지가변동률[%]","%","-","-","-","-","-","-",
"성북구","평균","지가변동률[%]","%",".384",".451",".94",".908",".879",".822",
"성북구","주거지역","지가변동률[%]","%",".4",".463",".892",".932",".888",".843",
"성북구","상업지역","지가변동률[%]","%","0","0","1.153",".286",".945",".726",
"성북구","공업지역","지가변동률[%]","%","-","-","-","-","-","-",
"성북구","녹지지역","지가변동률[%]","%",".334",".817","2.743",".956",".315","0",
"성북구","관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"성북구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"성북구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"성북구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"성북구","농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"성북구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-",
"성북구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"성북구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"성북구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"성북구","전","지가변동률[%]","%","-","-","-","-","-","-",
"성북구","답","지가변동률[%]","%","-","-","-","-","-","-",
"성북구","주거용(대)","지가변동률[%]","%",".468",".571","1.042",".909",".514",".639",
"성북구","상업용(대)","지가변동률[%]","%",".188",".204",".783",".893","1.753","1.222",
"성북구","임야","지가변동률[%]","%","0","0","2.564","1.786","0","0",
"성북구","공장용지","지가변동률[%]","%","-","-","-","-","-","-",
"성북구","기타","지가변동률[%]","%","-","-","-","-","-","-",
"강북구","평균","지가변동률[%]","%",".316",".497",".778",".765",".685",".682",
"강북구","주거지역","지가변동률[%]","%",".283",".479",".77",".793",".719",".716",
"강북구","상업지역","지가변동률[%]","%",".717",".579",".858",".781",".562",".559",
"강북구","공업지역","지가변동률[%]","%","-","-","-","-","-","-",
"강북구","녹지지역","지가변동률[%]","%",".568",".849",".841","0","0","0",
"강북구","관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"강북구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"강북구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"강북구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"강북구","농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"강북구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-",
"강북구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"강북구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"강북구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"강북구","전","지가변동률[%]","%","-","-","-","-","-","-",
"강북구","답","지가변동률[%]","%","-","-","-","-","-","-",
"강북구","주거용(대)","지가변동률[%]","%",".227",".463",".708",".811",".685",".762",
"강북구","상업용(대)","지가변동률[%]","%",".541",".609",".96",".626",".658",".474",
"강북구","임야","지가변동률[%]","%","0","0","0","0","0","0",
"강북구","공장용지","지가변동률[%]","%","-","-","-","-","-","-",
"강북구","기타","지가변동률[%]","%","-","-","-","-","-","-",
"도봉구","평균","지가변동률[%]","%",".26",".41",".739",".684",".639",".592",
"도봉구","주거지역","지가변동률[%]","%",".261",".497",".694",".687",".592",".446",
"도봉구","상업지역","지가변동률[%]","%",".39",".62",".539",".46",".961","1.461",
"도봉구","공업지역","지가변동률[%]","%",".226",".17",".632",".625",".685",".71",
"도봉구","녹지지역","지가변동률[%]","%",".317",".448","2.163","1.222",".703","1.018",
"도봉구","관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"도봉구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"도봉구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"도봉구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"도봉구","농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"도봉구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-",
"도봉구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"도봉구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"도봉구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"도봉구","전","지가변동률[%]","%","0","0","1.79","0","0","0",
"도봉구","답","지가변동률[%]","%","-","-","-","-","-","-",
"도봉구","주거용(대)","지가변동률[%]","%",".088",".226",".789",".585",".368",".342",
"도봉구","상업용(대)","지가변동률[%]","%",".599",".829","1",".976","1.127","1.102",
"도봉구","임야","지가변동률[%]","%","0","0","1.266",".893","0","0",
"도봉구","공장용지","지가변동률[%]","%","0","0","0","1.694","1.112","1.649",
"도봉구","기타","지가변동률[%]","%","-","-","-","-","-","-",
"노원구","평균","지가변동률[%]","%",".361",".529",".776",".81",".738",".649",
"노원구","주거지역","지가변동률[%]","%",".372",".559",".741",".757",".726",".584",
"노원구","상업지역","지가변동률[%]","%",".183",".099",".463",".743",".539",".291",
"노원구","공업지역","지가변동률[%]","%","-","-","-","-","-","-",
"노원구","녹지지역","지가변동률[%]","%",".345",".447","1.301","1.396",".964","1.498",
"노원구","관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"노원구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"노원구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"노원구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"노원구","농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"노원구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-",
"노원구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"노원구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"노원구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"노원구","전","지가변동률[%]","%","-","-","-","-","-","-",
"노원구","답","지가변동률[%]","%","-","-","-","-","-","-",
"노원구","주거용(대)","지가변동률[%]","%",".388",".581",".62",".862",".95",".955",
"노원구","상업용(대)","지가변동률[%]","%",".339",".462",".908",".824",".524",".434",
"노원구","임야","지가변동률[%]","%","0","0","4.295","1.525","0","0",
"노원구","공장용지","지가변동률[%]","%","-","-","-","-","-","-",
"노원구","기타","지가변동률[%]","%","-","-","-","-","-","-",
"은평구","평균","지가변동률[%]","%",".401",".565",".935",".848",".79",".715",
"은평구","주거지역","지가변동률[%]","%",".365",".499",".893",".764",".78",".709",
"은평구","상업지역","지가변동률[%]","%",".41",".415",".812",".808",".63",".726",
"은평구","공업지역","지가변동률[%]","%","-","-","-","-","-","-",
"은평구","녹지지역","지가변동률[%]","%",".639","1.077","1.269","1.411",".94",".749",
"은평구","관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"은평구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"은평구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"은평구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"은평구","농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"은평구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-",
"은평구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"은평구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"은평구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"은평구","전","지가변동률[%]","%",".304","6.061","2.857","2.777",".811",".805",
"은평구","답","지가변동률[%]","%","-","-","-","-","-","-",
"은평구","주거용(대)","지가변동률[%]","%",".379",".515",".975",".833",".746",".731",
"은평구","상업용(대)","지가변동률[%]","%",".492",".464",".819",".83",".933",".701",
"은평구","임야","지가변동률[%]","%","0","1.37","0","1.352","0","0",
"은평구","공장용지","지가변동률[%]","%","-","-","-","-","-","-",
"은평구","기타","지가변동률[%]","%","-","-","-","-","-","-",
"서대문구","평균","지가변동률[%]","%",".344",".532",".863",".765",".844",".713",
"서대문구","주거지역","지가변동률[%]","%",".358",".548",".875",".754",".855",".707",
"서대문구","상업지역","지가변동률[%]","%",".224",".398",".75",".867",".741",".768",
"서대문구","공업지역","지가변동률[%]","%","-","-","-","-","-","-",
"서대문구","녹지지역","지가변동률[%]","%","-","-","-","-","-","-",
"서대문구","관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"서대문구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"서대문구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"서대문구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"서대문구","농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"서대문구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-",
"서대문구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"서대문구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"서대문구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"서대문구","전","지가변동률[%]","%","-","-","-","-","-","-",
"서대문구","답","지가변동률[%]","%","-","-","-","-","-","-",
"서대문구","주거용(대)","지가변동률[%]","%",".384",".528",".895",".718",".838",".645",
"서대문구","상업용(대)","지가변동률[%]","%",".299",".538",".838",".83",".848",".804",
"서대문구","임야","지가변동률[%]","%","0",".371","0",".738",".733",".727",
"서대문구","공장용지","지가변동률[%]","%","-","-","-","-","-","-",
"서대문구","기타","지가변동률[%]","%","-","-","-","-","-","-",
"마포구","평균","지가변동률[%]","%",".359",".54",".81",".811",".897",".737",
"마포구","주거지역","지가변동률[%]","%",".384",".612",".947",".938","1.076",".884",
"마포구","상업지역","지가변동률[%]","%",".198",".3","1.118","1.165","1.014",".823",
"마포구","공업지역","지가변동률[%]","%","-","-","-","-","-","-",
"마포구","녹지지역","지가변동률[%]","%",".349",".377","0","0","0","0",
"마포구","관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"마포구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"마포구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"마포구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"마포구","농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"마포구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-",
"마포구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"마포구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"마포구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"마포구","전","지가변동률[%]","%","1.042",".825","0","0","0","0",
"마포구","답","지가변동률[%]","%","-","-","-","-","-","-",
"마포구","주거용(대)","지가변동률[%]","%",".383",".555",".62",".627",".763",".616",
"마포구","상업용(대)","지가변동률[%]","%",".317",".55","1.235","1.22","1.253","1.045",
"마포구","임야","지가변동률[%]","%","-","-","-","-","-","-",
"마포구","공장용지","지가변동률[%]","%","-","-","-","-","-","-",
"마포구","기타","지가변동률[%]","%","-","-","-","-","-","-",
"양천구","평균","지가변동률[%]","%",".275",".579",".918",".83","1.037",".842",
"양천구","주거지역","지가변동률[%]","%",".275",".57",".821",".741",".913",".732",
"양천구","상업지역","지가변동률[%]","%",".207",".702","1.896","1.684","2.228","1.9",
"양천구","공업지역","지가변동률[%]","%","-","-","-","-","-","-",
"양천구","녹지지역","지가변동률[%]","%",".588",".35",".466",".58",".692",".458",
"양천구","관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"양천구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"양천구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"양천구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"양천구","농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"양천구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-",
"양천구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"양천구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"양천구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"양천구","전","지가변동률[%]","%","-","-","-","-","-","-",
"양천구","답","지가변동률[%]","%","-","-","-","-","-","-",
"양천구","주거용(대)","지가변동률[%]","%",".391",".679",".834",".762",".863",".678",
"양천구","상업용(대)","지가변동률[%]","%",".182",".47","1.014",".929","1.275","1.044",
"양천구","임야","지가변동률[%]","%","0","0","0","0","0","0",
"양천구","공장용지","지가변동률[%]","%","0","0","0","0","0","0",
"양천구","기타","지가변동률[%]","%","-","-","-","-","-","-",
"강서구","평균","지가변동률[%]","%",".518",".491","1.024",".782",".942",".768",
"강서구","주거지역","지가변동률[%]","%",".135",".169",".403",".306",".397",".443",
"강서구","상업지역","지가변동률[%]","%","1.079","1.089","1.747",".89","1.685",".978",
"강서구","공업지역","지가변동률[%]","%","1.124","1.265","2.062","1.31","1.293",".893",
"강서구","녹지지역","지가변동률[%]","%",".974",".709","1.757","1.565","1.789","1.363",
"강서구","관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"강서구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"강서구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"강서구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"강서구","농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"강서구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-",
"강서구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"강서구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"강서구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"강서구","전","지가변동률[%]","%",".965",".637","1.852","2.025","1.297","1.28",
"강서구","답","지가변동률[%]","%","1.058",".655","2.249","2.073","2.03","1.606",
"강서구","주거용(대)","지가변동률[%]","%",".213",".186",".524",".381",".483",".609",
"강서구","상업용(대)","지가변동률[%]","%",".649",".695","1.169",".8","1.156",".707",
"강서구","임야","지가변동률[%]","%","0","0","0","0","0","0",
