"시군구별","용도지역및이용현황별","항목","단위","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월",
"용산구","평균","지가변동률[%]","%",".321",".323",".401",".455",".466",".516",".451",".239",".009","-.126","-.195",
"용산구","주거지역","지가변동률[%]","%",".321",".314",".392",".442",".469",".507",".434",".21","-.017","-.161","-.227",
"용산구","상업지역","지가변동률[%]","%",".316",".362",".434",".508",".454",".555",".525",".362",".119",".026","-.059",
"용산구","주거용(대)","지가변동률[%]","%",".327",".301",".385",".433",".483",".481",".427",".148","-.098","-.223","-.252",
"용산구","상업용(대)","지가변동률[%]","%",".307",".344",".414",".482",".413",".557",".466",".336",".145","-.006","-.118",
"성동구","평균","지가변동률[%]","%",".442",".473",".483",".498",".503",".497",".48",".391",".135",".019",".009",
"성동구","주거지역","지가변동률[%]","%",".233",".312",".278",".289",".279",".282",".358",".246",".018","-.01","-.007",
"성동구","상업지역","지가변동률[%]","%",".726",".444",".418",".414",".5",".418",".486",".371",".089",".015","-.005",
"성동구","공업지역","지가변동률[%]","%",".886",".886","1.011","1.04","1.051","1.045",".773",".746",".428",".097",".053",
"성동구","주거용(대)","지가변동률[%]","%",".237",".299",".275",".324",".27",".26",".405",".185","-.04","-.013","-.013",
"성동구","상업용(대)","지가변동률[%]","%",".434",".541",".509",".532",".613",".597",".437",".623",".339",".04",".02",
"성동구","공장용지","지가변동률[%]","%","1.374",".893","1.356","1.058","1.217","1.132",".696",".865",".468",".096",".055",
"광진구","평균","지가변동률[%]","%",".312",".32",".368",".379",".355",".346",".322",".15","-.069","-.104","-.144",
"광진구","주거지역","지가변동률[%]","%",".321",".323",".379",".38",".361",".348",".331",".146","-.076","-.105","-.146",
"광진구","상업지역","지가변동률[%]","%",".18",".292",".244",".423",".283",".358",".198",".245",".023","-.088","-.138",
"광진구","녹지지역","지가변동률[%]","%",".168",".107",".122",".121",".122",".213",".122",".03","-.03","-.067","0",
"광진구","주거용(대)","지가변동률[%]","%",".349",".315",".328",".344",".384",".344",".32",".061","-.183","-.163","-.175",
"광진구","상업용(대)","지가변동률[%]","%",".204",".342",".455",".424",".288",".344",".292",".357",".145","-.001","-.107",
"광진구","임야","지가변동률[%]","%",".061",".141",".122",".123",".123",".14",".122",".031","-.031","-.059","0",
"동대문구","평균","지가변동률[%]","%",".321",".321",".429",".435",".438",".415",".345",".132","-.094","-.238","-.197",
"동대문구","주거지역","지가변동률[%]","%",".32",".323",".4",".423",".433",".414",".342",".118","-.139","-.241","-.194",
"동대문구","상업지역","지가변동률[%]","%",".331",".311",".577",".495",".463",".42",".357",".209",".122","-.226","-.213",
"동대문구","주거용(대)","지가변동률[%]","%",".299",".281",".393",".355",".44",".452",".324",".048","-.24","-.25","-.245",
"동대문구","상업용(대)","지가변동률[%]","%",".35",".379",".438",".542",".445",".373",".373",".222",".079","-.226","-.127",
"동대문구","임야","지가변동률[%]","%","","","","","","","","","","-.161","-.161",
"중랑구","평균","지가변동률[%]","%",".284",".286",".307",".322",".317",".326",".297",".098","-.082","-.132","-.104",
"중랑구","주거지역","지가변동률[%]","%",".281",".288",".309",".323",".319",".325",".298",".093","-.099","-.139","-.101",
"중랑구","상업지역","지가변동률[%]","%",".326",".293",".3",".345",".324",".357",".314",".11",".077","-.047","-.125",
"중랑구","녹지지역","지가변동률[%]","%",".238",".205",".23",".22",".275",".269",".206",".206",".079","-.081","-.138",
"중랑구","전","지가변동률[%]","%",".467",".316",".105",".231",".138",".21",".208",".208",".104","-.027","-.157",
"중랑구","주거용(대)","지가변동률[%]","%",".265",".26",".317",".323",".325",".329",".266",".044","-.175","-.166","-.056",
"중랑구","상업용(대)","지가변동률[%]","%",".308",".339",".297",".322",".324",".322",".366",".2",".1","-.048","-.2",
"중랑구","임야","지가변동률[%]","%",".478",".238",".238",".237",".355","0",".118",".118",".235","-.079","-.182",
"성북구","평균","지가변동률[%]","%",".299",".311",".336",".352",".36",".351",".306",".048","-.106","-.366","-.258",
"성북구","주거지역","지가변동률[%]","%",".302",".311",".338",".356",".364",".352",".308",".04","-.118","-.373","-.261",
"성북구","상업지역","지가변동률[%]","%",".327",".34",".383",".309",".34",".339",".295",".203",".116","-.258","-.24",
"성북구","녹지지역","지가변동률[%]","%",".009",".015",".009",".182",".123",".324",".181",".029",".037","-.106","-.119",
"성북구","전","지가변동률[%]","%",".01",".011",".011",".155",".105",".31",".207",".052",".01","-.094","-.095",
"성북구","주거용(대)","지가변동률[%]","%",".309",".313",".34",".346",".366",".355",".303","-.007","-.21","-.453","-.305",
"성북구","상업용(대)","지가변동률[%]","%",".281",".308",".336",".371",".342",".347",".318",".192",".183","-.126","-.143",
"성북구","임야","지가변동률[%]","%",".026",".034",".008",".167",".242",".323",".234",".059",".008","-.215","-.096",
"강북구","평균","지가변동률[%]","%",".192",".211",".262",".296",".309",".283",".252",".056","-.117","-.103","-.126",
"강북구","주거지역","지가변동률[%]","%",".196",".214",".263",".294",".321",".279",".256",".051","-.137","-.108","-.137",
"강북구","상업지역","지가변동률[%]","%",".222",".235",".302",".391",".239",".467",".303",".141",".102","-.007","-.018",
"강북구","녹지지역","지가변동률[%]","%",".015",".045",".132",".18",".063",".04",".015","0","0","-.149","-.025",
"강북구","주거용(대)","지가변동률[%]","%",".209",".204",".254",".282",".346",".272",".265",".053","-.19","-.145","-.14",
"강북구","상업용(대)","지가변동률[%]","%",".174",".235",".275",".347",".244",".319",".221",".067",".059","-.01","-.061",
"강북구","임야","지가변동률[%]","%","0","0",".198","0",".066",".052","0","0","0","-.02","-.093",
"도봉구","평균","지가변동률[%]","%",".248",".263",".249",".279",".242",".235",".233",".083","-.095","-.112","-.108",
"도봉구","주거지역","지가변동률[%]","%",".257",".257",".255",".286",".252",".218",".252",".078","-.127","-.113","-.102",
"도봉구","상업지역","지가변동률[%]","%",".228",".204",".215",".216",".253",".352",".155",".109",".046","-.114","-.116",
"도봉구","공업지역","지가변동률[%]","%",".231",".315",".246",".283",".227",".29",".17",".102","-.016","-.113","-.139",
"도봉구","녹지지역","지가변동률[%]","%",".178",".223",".194",".214",".039",".165",".252",".048","-.035","-.087","-.084",
"도봉구","전","지가변동률[%]","%",".052",".283",".057",".507",".041",".414",".354",".021","-.035","-.051","-.117",
"도봉구","주거용(대)","지가변동률[%]","%",".296",".255",".223",".307",".291",".23",".23",".057","-.194","-.135","-.141",
"도봉구","상업용(대)","지가변동률[%]","%",".171",".275",".284",".239",".177",".256",".233",".127",".077","-.087","-.05",
"도봉구","임야","지가변동률[%]","%",".251",".185",".265",".125",".066",".059",".151",".073","-.073","-.131","-.061",
"노원구","평균","지가변동률[%]","%",".204",".21",".26",".273",".265",".268",".236",".102","-.079","-.096","-.112",
"노원구","주거지역","지가변동률[%]","%",".231",".223",".271",".292",".291",".282",".237",".112","-.094","-.103","-.119",
"노원구","상업지역","지가변동률[%]","%",".078",".236",".217",".249",".239",".205",".195",".097",".021","-.044","-.108",
"노원구","녹지지역","지가변동률[%]","%",".009",".039",".18",".075",".022",".16",".258",".004",".014","-.065","-.04",
"노원구","전","지가변동률[%]","%",".06","0",".12",".06",".298",".082",".046",".06",".045","-.03","-.14",
"노원구","주거용(대)","지가변동률[%]","%",".207",".217",".271",".283",".286",".292",".279",".052","-.173","-.157","-.118",
"노원구","상업용(대)","지가변동률[%]","%",".228",".275",".232",".269",".243",".189",".215",".204",".106","-.006","-.124",
"노원구","임야","지가변동률[%]","%",".016",".068",".102",".155",".03",".231",".073",".003",".03","-.055","-.008",
"은평구","평균","지가변동률[%]","%",".36",".28",".329",".347",".352",".36",".298",".038","-.067","-.408","-.243",
"은평구","주거지역","지가변동률[%]","%",".365",".284",".335",".35",".35",".364",".3",".027","-.084","-.438","-.26",
"은평구","상업지역","지가변동률[%]","%",".354",".291",".327",".362",".433",".343",".309",".175",".155","-.062","-.043",
"은평구","녹지지역","지가변동률[%]","%",".104",".066",".07",".146",".162",".227",".205",".074",".024","-.162","-.134",
"은평구","전","지가변동률[%]","%",".089",".037",".06",".14",".271",".307",".244",".067","0","-.171","-.147",
"은평구","주거용(대)","지가변동률[%]","%",".364",".284",".334",".35",".342",".363",".292","-.005","-.134","-.518","-.307",
"은평구","상업용(대)","지가변동률[%]","%",".355",".28",".32",".342",".412",".344",".329",".195",".188","-.044","-.032",
"은평구","임야","지가변동률[%]","%",".032",".012",".018",".055",".011",".177",".143",".053","0","-.084","-.08",
"서대문구","평균","지가변동률[%]","%",".348",".324",".335",".339",".356",".319",".311",".101","-.054","-.314","-.292",
"서대문구","주거지역","지가변동률[%]","%",".352",".325",".333",".338",".356",".318",".311",".084","-.067","-.316","-.307",
"서대문구","상업지역","지가변동률[%]","%",".316",".324",".361",".36",".356",".335",".315",".297",".104","-.295","-.123",
"서대문구","녹지지역","지가변동률[%]","%","0",".121","0",".172",".147",".121",".153",".052","-.034","-.025","-.182",
"서대문구","주거용(대)","지가변동률[%]","%",".348",".327",".332",".336",".354",".322",".305","-.013","-.1","-.37","-.38",
"서대문구","상업용(대)","지가변동률[%]","%",".347",".312",".341",".347",".358",".309",".328",".412",".077","-.229","-.06",
"서대문구","임야","지가변동률[%]","%","0",".086","0",".069",".06",".055",".154",".051","-.034","-.093","-.151",
"마포구","평균","지가변동률[%]","%",".327",".353",".359",".401",".424",".41",".366",".104",".002","-.069","-.073",
"마포구","주거지역","지가변동률[%]","%",".329",".353",".36",".394",".422",".433",".361",".089","-.021","-.076","-.08",
"마포구","상업지역","지가변동률[%]","%",".315",".358",".353",".444",".433",".288",".396",".187",".117","-.03","-.032",
"마포구","주거용(대)","지가변동률[%]","%",".355",".355",".372",".401",".437",".387",".372","-.025","-.119","-.17","-.138",
"마포구","상업용(대)","지가변동률[%]","%",".303",".357",".343",".403",".4",".456",".335",".268",".132",".041","-.018",
"양천구","평균","지가변동률[%]","%",".302",".331",".345",".377",".351",".345",".313",".18",".003","-.135","-.257",
"양천구","주거지역","지가변동률[%]","%",".285",".344",".35",".383",".356",".351",".314",".18","-.036","-.145","-.286",
"양천구","상업지역","지가변동률[%]","%",".444",".242",".297",".348",".323",".298",".326",".18",".274","-.055","-.062",
"양천구","녹지지역","지가변동률[%]","%",".248",".277",".294",".284",".313",".296",".245",".183",".214","-.114","-.015",
"양천구","주거용(대)","지가변동률[%]","%",".304",".349",".35",".369",".348",".329",".312",".084","-.152","-.187","-.317",
"양천구","상업용(대)","지가변동률[%]","%",".27",".33",".339",".413",".365",".391",".317",".336",".291","-.057","-.162",
"양천구","임야","지가변동률[%]","%",".24",".3",".311",".286",".333",".272",".236",".248",".294","-.111",".092",
"양천구","공장용지","지가변동률[%]","%",".29",".291",".322",".353",".319",".286",".286",".285",".284","","",
"강서구","평균","지가변동률[%]","%",".367",".368",".359",".372",".367",".356",".327",".222","-.022","-.189","-.208",
"강서구","주거지역","지가변동률[%]","%",".375",".386",".381",".385",".379",".351",".32",".194","-.09","-.245","-.268",
"강서구","상업지역","지가변동률[%]","%",".456",".402",".392",".409",".373",".458",".398",".284",".217","-.036","-.064",
"강서구","공업지역","지가변동률[%]","%",".351",".338",".324",".36",".356",".339",".308",".29",".078","-.089","-.094",
"강서구","녹지지역","지가변동률[%]","%",".164",".186",".153",".17",".27",".286",".358",".218",".078","-.108","-.095",
"강서구","전","지가변동률[%]","%",".038",".168",".219",".269",".273",".355",".315",".146",".105","-.092","-.134",
"강서구","답","지가변동률[%]","%",".173",".115",".147",".182",".26",".356",".296",".168",".107","-.056","-.083",
"강서구","주거용(대)","지가변동률[%]","%",".37",".373",".364",".373",".361",".345",".253",".061","-.271","-.298","-.311",
"강서구","상업용(대)","지가변동률[%]","%",".374",".374",".391",".399",".398",".374",".415",".37",".244","-.054","-.07",
"강서구","임야","지가변동률[%]","%",".233",".161",".175",".264",".344",".323",".307",".159",".129","-.074","-.115",
"강서구","공장용지","지가변동률[%]","%",".307",".312",".31",".334",".325",".323",".302",".3",".201","-.057","-.103",
"구로구","평균","지가변동률[%]","%",".301",".319",".32",".326",".341",".341",".315",".179","-.063","-.184","-.199",
"구로구","주거지역","지가변동률[%]","%",".316",".327",".33",".326",".347",".347",".315",".132","-.175","-.251","-.236",
"구로구","상업지역","지가변동률[%]","%",".322",".336",".323",".317",".344",".33",".323",".295",".103","-.153","-.1",
"구로구","공업지역","지가변동률[%]","%",".275",".307",".299",".333",".336",".336",".31",".243",".12","-.064","-.158",
"구로구","녹지지역","지가변동률[%]","%",".201",".255",".276",".264",".287",".301",".304",".29",".111","-.042","-.058",
"구로구","전","지가변동률[%]","%",".219",".21",".291",".293",".331",".259",".266",".403",".12","-.046","-.119",
"구로구","주거용(대)","지가변동률[%]","%",".313",".318",".321",".318",".342",".345",".324",".087","-.294","-.347","-.276",
"구로구","상업용(대)","지가변동률[%]","%",".306",".34",".341",".332",".36",".351",".285",".25",".178","-.048","-.15",
"구로구","임야","지가변동률[%]","%",".222",".287",".287",".271",".261",".287",".358",".294",".107","-.024","-.057",
"구로구","공장용지","지가변동률[%]","%",".293",".331",".34",".352",".338",".346",".354",".347",".119",".07","-.056",
"금천구","평균","지가변동률[%]","%",".383",".393",".398",".39",".383",".372",".359",".231","-.007","-.102","-.118",
"금천구","주거지역","지가변동률[%]","%",".386",".379",".397",".388",".377",".369",".356",".166","-.131","-.175","-.2",
"금천구","상업지역","지가변동률[%]","%",".403",".41",".422",".396",".404",".367",".339",".371",".134",".011",".022",
"금천구","공업지역","지가변동률[%]","%",".378",".409",".396",".393",".387",".377",".366",".293",".122","-.035","-.043",
"금천구","녹지지역","지가변동률[%]","%",".272",".334",".354",".331",".247",".309",".267",".225",".042","-.032","-.034",
"금천구","전","지가변동률[%]","%",".379",".375",".376",".371",".305",".225",".307",".307",".04","","",
"금천구","주거용(대)","지가변동률[%]","%",".379",".376",".395",".39",".375",".373",".344",".085","-.244","-.251","-.233",
"금천구","상업용(대)","지가변동률[%]","%",".396",".402",".404",".389",".385",".375",".388",".368",".167",".033","-.046",
"금천구","임야","지가변동률[%]","%",".254",".253",".336",".251",".167",".166",".25",".167",".083","-.032","-.034",
"금천구","공장용지","지가변동률[%]","%",".38",".409",".404",".408",".419",".394",".336",".394",".225",".115",".068",
"영등포구","평균","지가변동률[%]","%",".401",".398",".391",".407",".4",".39",".382",".227",".002","-.034","-.114",
"영등포구","주거지역","지가변동률[%]","%",".409",".393",".385",".403",".395",".381",".373",".156","-.081","-.078","-.281",
"영등포구","상업지역","지가변동률[%]","%",".42",".433",".426",".436",".43",".418",".403",".311",".081","-.001","-.007",
"영등포구","공업지역","지가변동률[%]","%",".364",".359",".354",".375",".368",".365",".366",".216",".013","-.019","-.032",
"영등포구","주거용(대)","지가변동률[%]","%",".403",".378",".349",".406",".384",".374",".365",".052","-.172","-.159","-.348",
"영등포구","상업용(대)","지가변동률[%]","%",".404",".405",".409",".404",".404",".398",".392",".303",".063",".015",".007",
"영등포구","공장용지","지가변동률[%]","%",".337",".359",".333",".358",".361",".339",".337",".174",".035","-.011",".001",
"동작구","평균","지가변동률[%]","%",".266",".296",".289",".311",".34",".313",".309",".213","-.025","-.098","-.077",
"동작구","주거지역","지가변동률[%]","%",".283",".298",".308",".331",".358",".283",".319",".234","-.041","-.107","-.081",
"동작구","상업지역","지가변동률[%]","%",".101",".284",".077",".096",".146",".67",".212","0",".157",".01","-.028",
"동작구","녹지지역","지가변동률[%]","%",".105",".175",".147",".112",".106",".062",".086","0","0","0","0",
"동작구","주거용(대)","지가변동률[%]","%",".312",".337",".29",".359",".39",".277",".279",".011","-.112","-.145","-.111",
"동작구","상업용(대)","지가변동률[%]","%",".122",".166",".317",".169",".234",".421",".392",".888",".204",".022",".018",
"동작구","임야","지가변동률[%]","%",".152",".128",".156",".097",".053",".073",".043","0","0","0","-.057",
"관악구","평균","지가변동률[%]","%",".37",".356",".379",".41",".401",".385",".355",".173","-.084","-.292","-.25",
"관악구","주거지역","지가변동률[%]","%",".393",".373",".397",".425",".413",".395",".362",".15","-.123","-.366","-.291",
"관악구","상업지역","지가변동률[%]","%",".296",".351",".356",".386",".383",".375",".355",".345",".163",".148","-.034",
"관악구","녹지지역","지가변동률[%]","%",".143",".133",".169",".247",".258",".248",".256",".227",".109",".087","-.013",
"관악구","전","지가변동률[%]","%",".124",".124",".124",".247",".123",".247",".246",".244",".122","","",
"관악구","주거용(대)","지가변동률[%]","%",".434",".378",".398",".438",".424",".399",".36",".09","-.197","-.508","-.374",
"관악구","상업용(대)","지가변동률[%]","%",".258",".358",".386",".381",".376",".377",".361",".364",".143",".114","-.024",
"관악구","임야","지가변동률[%]","%",".137",".143",".164",".253",".27",".261",".278",".252",".132",".106","-.008",
"서초구","평균","지가변동률[%]","%",".438",".447",".433",".448",".463",".419",".392",".264",".079",".039",".028",
"서초구","주거지역","지가변동률[%]","%",".453",".461",".45",".46",".472",".435",".409",".273",".06",".03",".022",
"서초구","상업지역","지가변동률[%]","%",".401",".408",".384",".415",".461",".38",".358",".247",".182",".085",".063",
"서초구","녹지지역","지가변동률[%]","%",".314",".334",".322",".329",".301",".299",".234",".163",".024",".024",".017",
"서초구","전","지가변동률[%]","%",".344",".395",".333",".325",".273",".29",".238",".155",".054",".039",".008",
"서초구","주거용(대)","지가변동률[%]","%",".43",".392",".396",".432",".44",".312",".267",".079","-.192","-.182","-.13",
"서초구","상업용(대)","지가변동률[%]","%",".455",".487",".462",".459",".483",".492",".504",".416",".306",".204",".149",
"서초구","임야","지가변동률[%]","%",".239",".297",".299",".263",".251",".242",".212",".19",".022",".024",".029",
"서초구","공장용지","지가변동률[%]","%","0","0","0","0","0","0","0","0","0","","",
"강남구","평균","지가변동률[%]","%",".379",".403",".4",".52",".45",".38",".312",".255",".1",".03",".021",
"강남구","주거지역","지가변동률[%]","%",".381",".395",".39",".513",".442",".372",".321",".23",".004",".003","-.005",
"강남구","상업지역","지가변동률[%]","%",".389",".44",".443",".554",".494",".411",".294",".32",".363",".11",".098",
"강남구","녹지지역","지가변동률[%]","%",".072",".103",".107",".152",".117",".13",".127",".372",".09",".08",".071",
"강남구","전","지가변동률[%]","%",".074",".071",".106",".118",".134",".068",".112",".361",".022",".054",".079",
"강남구","주거용(대)","지가변동률[%]","%",".386",".39",".376",".511",".413",".422",".31","-.002","-.284","-.133","-.105",
"강남구","상업용(대)","지가변동률[%]","%",".387",".42",".408",".531",".465",".344",".347",".431",".338",".161",".118",
"강남구","임야","지가변동률[%]","%",".096",".123",".109",".102",".143",".071",".319",".596",".051",".074",".068",
"송파구","평균","지가변동률[%]","%",".416",".423",".442",".424",".404",".397",".386",".243",".012","-.008",".004",
"송파구","주거지역","지가변동률[%]","%",".402",".452",".493",".341",".448",".368",".304",".047","-.166","-.086","-.052",
"송파구","상업지역","지가변동률[%]","%",".462",".334",".271",".695",".258",".489",".651",".886",".574",".301",".227",
"송파구","녹지지역","지가변동률[%]","%",".381",".297",".508",".46",".5",".581",".558",".138",".515",".084",".004",
"송파구","전","지가변동률[%]","%",".702",".269",".417",".456",".811",".649",".41",".041",".637",".061",".011",
"송파구","주거용(대)","지가변동률[%]","%",".399",".513",".513",".254",".431",".345",".244",".048","-.358","-.152","-.121",
"송파구","상업용(대)","지가변동률[%]","%",".432",".352",".493",".528",".445",".455",".51",".366",".225",".125",".084",
"송파구","임야","지가변동률[%]","%","0","0","0",".358","0","0",".714",".236","0",".526","0",
"강동구","평균","지가변동률[%]","%",".295",".3",".358",".33",".325",".317",".295",".182","-.03","-.044","-.022",
"강동구","주거지역","지가변동률[%]","%",".307",".261",".395",".307",".325",".318",".289",".157","-.06","-.055","-.047",
"강동구","상업지역","지가변동률[%]","%",".248",".715",".083",".63",".391",".383",".422",".417",".249",".032",".225",
"강동구","공업지역","지가변동률[%]","%","","","","","","","","","",".043",".015",
"강동구","녹지지역","지가변동률[%]","%",".112",".175",".131",".108",".141",".116",".076",".195",".025",".058","-.001",
"강동구","전","지가변동률[%]","%",".093",".217",".143",".153",".168",".083",".069",".121",".019",".071",".004",
"강동구","주거용(대)","지가변동률[%]","%",".257",".241",".368",".28",".34",".367",".246",".018","-.156","-.149","-.12",
"강동구","상업용(대)","지가변동률[%]","%",".37",".367",".309",".37",".333",".307",".219",".41",".181",".101",".129",
"강동구","임야","지가변동률[%]","%",".23",".15",".064",".031",".15",".095",".043",".107",".037",".063","-.011",
"부산광역시","평균","지가변동률[%]","%",".294",".326",".333",".358",".299",".288",".243",".181",".093",".018","-.005",
"부산광역시","주거지역","지가변동률[%]","%",".304",".32",".358",".372",".331",".257",".232",".149",".071","-.015","-.045",
"부산광역시","상업지역","지가변동률[%]","%",".352",".398",".346",".365",".289",".362",".287",".267",".118",".035",".01",
"부산광역시","공업지역","지가변동률[%]","%",".226",".274",".297",".366",".286",".357",".251",".183",".129",".087",".075",
"부산광역시","녹지지역","지가변동률[%]","%",".188",".246",".21",".258",".157",".168",".179",".146",".098",".057",".064",
"부산광역시","자연환경보전지역","지가변동률[%]","%","","","","","","","","","",".054",".045",
"부산광역시","전","지가변동률[%]","%",".19",".23",".248",".233",".256",".12",".284",".124",".201",".145",".17",
"부산광역시","답","지가변동률[%]","%",".36",".163",".451",".366",".254",".311",".272",".121",".133",".174",".104",
"부산광역시","주거용(대)","지가변동률[%]","%",".284",".316",".385",".386",".301",".236",".186",".12",".009","-.099","-.125",
"부산광역시","상업용(대)","지가변동률[%]","%",".312",".346",".374",".332",".327",".331",".284",".245",".149",".08",".053",
"부산광역시","임야","지가변동률[%]","%",".066",".225",".085",".237",".047",".124",".095",".166",".073",".053",".055",
"부산광역시","공장용지","지가변동률[%]","%",".211",".318",".274",".369",".328",".375",".231",".189",".123",".109",".107",
"중구","평균","지가변동률[%]","%",".163",".156",".169",".169",".152",".162",".157",".074",".043","-.02","-.033",
"중구","주거지역","지가변동률[%]","%",".152",".156",".158",".138",".139",".212",".119",".033",".007","-.057","-.061",
"중구","상업지역","지가변동률[%]","%",".164",".156",".17",".172",".154",".157",".162",".078",".046","-.016","-.03",
"중구","주거용(대)","지가변동률[%]","%",".172",".194",".208",".179",".162",".265",".142",".003","-.031","-.074","-.054",
"중구","상업용(대)","지가변동률[%]","%",".159",".146",".16",".161",".151",".15",".157",".084",".055","-.014","-.032",
"서구","평균","지가변동률[%]","%",".213",".247",".249",".241",".245",".235",".228",".172",".049","-.017","-.002",
"서구","주거지역","지가변동률[%]","%",".247",".262",".293",".281",".3",".216",".254",".147",".039","-.021","-.012",
"서구","상업지역","지가변동률[%]","%",".268",".311",".324",".291",".253",".272",".28",".271",".086","-.022",".013",
"서구","공업지역","지가변동률[%]","%","0",".09","0",".035",".042",".24",".037",".062","0",".011",".002",
"서구","녹지지역","지가변동률[%]","%",".07",".08",".004",".004",".106",".187",".117",".079",".084","-.006","-.007",
"서구","전","지가변동률[%]","%","0",".178",".04","0",".126",".218",".252",".039",".177","-.008","-.017",
